finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
thirty-six 	[sound:youdao-d86d5c4b-faa3c8da-d8d3d98d-2f980ac0-efbee745.mp3]		三十六	D. has been reported in thirty-six states, including California, New York, Texas, Florida, and New Jersey.			
snowball 	[sound:youdao-8e799951-b87e97e4-de22fd1d-8c33684d-3b2c1c32.mp3]	['snəʊbɔːl]	n. 雪球 vi. 擲雪球；滾雪球般增大 vt. 向…擲雪球；使滾雪球般增大 n. (Snowball)人名；(英)斯諾博爾	To find out, try setting up a debt snowball payment and making your payments regularly.			
cooling 	[sound:youdao-7c94c81b-d95fc811-9834c952-954dc042-3e734198.mp3]	['kʊlɪŋ]	adj. 冷卻的 n. 冷卻 n. (Cooling)人名；(英)庫林	Modem and network interface are included, too, along with a really noisy cooling fan.			
polluted 	[sound:youdao-57163314-2c305fa4-c6329025-3eaeb964-ec135dab.mp3]	[pə'ljuːtɪd]	adj. 受污染的；被玷污的 v. 污染（pollute的過去式和過去分詞）	Numerous rivers, once the source of human prosperity and rich wildlife, are now heavily polluted.			
rot 	[sound:youdao-2489850b-75328f60-a4c97c8d-8fe4a8ad-b789d234.mp3]	[rɒt]	n. 腐爛；腐敗；腐壞 vi. 腐爛；腐敗；墮落 vt. 使腐爛；使腐朽；使墮落 int. （表示厭惡、蔑視、煩惱等）胡說；糟了 n. (Rot)人名；(法、德、俄、塞、捷、瑞典)羅特	Biological interventions need not be draconian, and it's never too early to stop the rot.			
Apache 	[sound:youdao-336bab89-13e4ed58-704862af-d02305f2-0f6cd43e.mp3]	[əˈpatʃɪ]	n. 阿帕切族（美洲印第安部族）	Spencer based Asterisk on Apache , the freebie software that powers many a Web server.			
subpoena 	[sound:youdao-e06f57f0-5549f38c-776a95ea-7bc53bc0-90943ca1.mp3]	[sə'piːnə]	vt. 傳喚，傳審；傳訊 n. 傳票	But ultimately, its subpoena powers were limited -- and it emerged with a friendly face.			
stud 	[sound:youdao-5b0d0f2c-926f8012-bce9a400-9278c05f-b74d6a7d.mp3]	[stʌd]	n. 種馬；大頭釘；飾紐；壁骨 vt. 散佈；用許多飾鈕等裝飾 adj. 種馬的；為配種而飼養的	Vidauban was occupied back in the Iron Age, and Roman ruins stud the area, as do centuries-old abbeys.			
forested 	[sound:youdao-0dc4d189-0b3b5287-a8f76f23-def9d24e-1dc796ac.mp3]	['fɔrɪstɪd]	adj. 草木叢生的 v. 植樹於（forest的過去式和過去分詞）	The sun is falling, silhouetting the forested skyline and covering our sails in its yellowy glow.			
discarded 	[sound:youdao-f88686bc-1d06dd1d-b6ed5e5b-5cc5294e-57ee3d0a.mp3]	[dɪs'kɑrd]	adj. 丟棄的；廢棄的 v. 丟棄（discard的過去分詞）	In Memphis, leaders in the LGBT community are looking for a long-term solution to help discarded LGBT youth.			
equatorial 	[sound:youdao-e3cfc7b9-3a894620-6dc0824d-cece34df-bb406128.mp3]	[,ekwə'tɔːrɪəl]	adj. 赤道的，近赤道的；中緯線的 n. 赤道儀	Hope comes from Equatorial Guinea in West Africa, Marathon's biggest and most lucrative upstream venture.			
lymph 	[sound:youdao-0247aa96-6211a755-0f1975ec-b6305332-207d184a.mp3]	[lɪmf]	n. [解剖] 淋巴，淋巴液；血清	And when breast cancers did occur they tended to be larger tumours spreading to lymph nodes.			
download 	[sound:youdao-bc7fa3e2-fadcd530-10c77873-fafc015c-bb2c6220.mp3]	[daʊn'ləʊd]	vt. [計] 下載	It dreamed up the Walkman, but Apple created the Walkman of the digital-download age, the iPod.			
flamboyant 	[sound:youdao-8acf4055-09f14622-984d1622-2c5ea028-65fda5b1.mp3]	[flam'bɒɪənt]	adj. 艷麗的；火焰似的；炫耀的 n. 鳳凰木	Bucksbaum has staunchly resisted paying himself the outsize salaries that more flamboyant REIT managers collect.			
tarnish 	[sound:youdao-0e0e6f0a-851d0262-f5a1be34-9802861b-01106b2c.mp3]	['tɑːnɪʃ]	n. 晦暗，無光澤；污點 vt. 玷污；使……失去光澤；使……變灰暗 vi. 失去光澤；被玷污；變灰暗	Shame to see the mistakes of few tarnish the hard work of so many.			
posting 	[sound:youdao-7df177bb-cda5996b-4a09ce5d-ca484652-cff6b6c7.mp3]	['pəʊstɪŋ]	n. 記錄；[會計] 過賬；委派 vt. 公佈；郵遞；佈置（post的ing形式）	When feelings run high, an ill-judged letter can cause as much emotional damage as any dashed-off online posting.			
percentile 	[sound:youdao-b553a844-431d068f-eada78c0-0ee5a1c4-c85fd5d5.mp3]	[pə'sentaɪl]	adj. 百分率的；按百等分排列的 n. 百分位	The improvement was the equivalent, they say, to a 16 percentile point increase in GRE score.			
padding 	[sound:youdao-b4b89519-48832b0c-69c58000-02481c17-7163d747.mp3]	['padɪŋ]	n. 填料；墊料 v. 填補（pad的ing形式）	The wood shavings padding their cage floors are sterilized, as are their food pellets.			
repudiate 	[sound:youdao-b67f7204-810ae895-1004ca1e-9f4447a1-d9f4b564.mp3]	[rɪ'pjuːdɪeɪt]	vt. 拒絕；否定；批判；與…斷絕關係；拒付	"One of their leaders declared: ""We repudiate the Dail"", the Irish parliament, which accepted the compromise agreement."			
piping 	[sound:youdao-c28970ef-e4955a0f-262433fd-9526cc21-271b156c.mp3]	['paɪpɪŋ]	n. 管道系統；尖聲；笛聲 adj. 吹笛的；平靜的；樂聲優雅的；尖聲的 v. 用管道輸送；尖聲唱（pipe的ing形式）	The thefts are usually of lead from roofs, flashing and copper piping, and lightning conductors.			
brandish 	[sound:youdao-b1a61a5c-b86c1c74-81f259b7-4da180d9-3f5d134e.mp3]	['brandɪʃ]	vt. 揮舞；炫耀 n. 揮舞	They may brandish words like courage, innovation, and integrity, but look closely at the real message.			
spire 	[sound:youdao-81778f6e-7659cf03-3b27370b-87efc147-195c6bd0.mp3]	[spaɪə]	n. [建] 尖頂；尖塔；螺旋 vi. 螺旋形上升 vt. 給…加塔尖 n. (Spire)人名；(德)施皮雷；(法)斯皮爾	The elevator up the spire is manually operated and represents its progression in feet, not floors.			
clatter 	[sound:youdao-2c6805ef-e2580418-1925c90d-afc455bd-b1841d07.mp3]	['klatə]	n. 嘩啦聲；嘈雜的談笑聲；卡嗒聲 vi. 發出嘩啦聲；喧鬧的談笑 vt. 使卡搭卡搭的響	He dropped the package loudly on the counter, where it made a wonderful clatter.			
primitive 	[sound:youdao-3ad6763e-841ec06b-3f8b046d-40f01ff6-fc17005c.mp3]	['prɪmɪtɪv]	adj. 原始的，遠古的；簡單的，粗糙的 n. 原始人	In an era of high-speed recombinant genetic drugmaking, vaccine production is still primitive, little changed in 50 years.			
crevice 	[sound:youdao-09ec7a87-174f53fa-f9f2ae8c-62c3e5e9-970d8337.mp3]	['krevɪs]	n. 裂縫；裂隙	The company grew quickly and became like water on pavement, finding every crack and crevice in the online space and finding purchase.			
pragmatism 	[sound:youdao-08b4c28f-589c5b67-860cb903-683b8dc3-3599601d.mp3]	['pragmətɪz(ə)m]	n. 實用主義；獨斷	In combining an inspiring sense of direction with political pragmatism, Ronald Reagan did just that.			
predicate 	[sound:youdao-fa1a77b0-6b4f3dd3-2ad3bb5d-902ebb48-3262ccdd.mp3]	['predɪkət]	vt. 斷定為…；使…基於 vi. 斷言，斷定 n. 謂語，述語 adj. 謂語的；述語的	The agreement that we reached on Friday -- that the President reached on Friday laid a predicate.			
token 	[sound:youdao-5bc7878b-11035aeb-5eb26b32-0924b4e9-f80b1b16.mp3]	['təʊk(ə)n]	n. 表徵；代幣；記號 adj. 象徵的；表意的；作為對某事的保證的 vt. 象徵；代表	When approaching your 40th birthday, there are a few token paths you might consider.			
substrate 	[sound:youdao-1763ea80-fef20a7b-1768135a-942dd103-c2109ddf.mp3]	['sʌbstreɪt]	n. 基質；基片；底層（等於substratum）；酶作用物	Univac introduced a metal substrate tape and tape recorder for computer digital recording in 1951.			
forefinger 	[sound:youdao-b642bff5-f7837558-ab8d9382-5f430184-cf9c69c8.mp3]	['fɔːfɪŋgə]	n. 食指	He answers his own question by putting his thumb and forefinger together in a big round 0.			
benefactor 	[sound:youdao-888075a5-83f7c7c7-af913151-cd2d327b-c1c5b3a6.mp3]	['benɪfaktə]	n. 恩人；捐助者；施主	Which brings us to the curious case of the Indochina railway and its Kiwi benefactor.			
morphine 	[sound:youdao-2005caba-62ed096a-fc0479fc-c0448d2b-d7564718.mp3]	['mɔːfiːn]	n. [毒物][藥] 嗎啡	And Pharmacia's new injectable COX-2 inhibitor, called Dynastat, could supplement or even supersede morphine.			
questioning 	[sound:youdao-8cfe03a4-4fae6537-3f44916f-3e63926b-81f55c0e.mp3]	['kwɛstʃənɪŋ]	n. 質問 v. 詢問，審問（question的現在分詞）	The difference is that the government has so much power, few can be heard questioning its wisdom.			
jumping 	[sound:youdao-9c5760f0-51076602-99429cec-7167ac7c-2a25006c.mp3]	['dʒʌmpɪŋ]	adj. 跳躍的 n. 障礙 vi. 跳（jump的ing形式）	Lucky for the laggards, there are some advantages to having waited before jumping online.			
inlet 	[sound:youdao-3541e0a6-8c59a70d-70a2fcf4-b5e0e454-efdc9882.mp3]	['ɪnlet]	n. 入口，進口；插入物；水灣 v. 引進; 嵌入; 插入;	Sailing through this inlet reveals a huge freshwater lagoon, shimmering aqua green in the sun.			
coffer 	[sound:youdao-d3a3d362-1689045f-8741b353-4f3ba645-8a5b336d.mp3]	['kɒfə]	n. 圍堰；保險箱；金庫；資金 vt. 把…放進箱櫃；用平頂鑲板裝飾	Sign up for a Netflix trial and you get 1.2GB added to your coffer.			
rough 	[sound:youdao-fea7a472-96355d5a-6924344d-152c6317-e526ec30.mp3]	[rʌf]	adj. 粗糙的；粗略的；粗野的；艱苦的；未經加工的 vt. 使粗糙；粗暴對待；草擬 n. 艱苦；高低不平的地面；未經加工的材料；粗糙的部分 vi. 舉止粗野 adv. 粗糙地；粗略地；粗暴地 n. (Rough)人名；(英)拉夫	In 1859, Hellman emigrated from a small town in Bavaria to the rough-and-tumble settlement of Los Angeles.			
enlargement 	[sound:youdao-eaddda54-761e6f9b-4dbb94ed-e936d457-106e35bf.mp3]	[ɪn'lɑːdʒm(ə)nt; en-]	n. 放大；放大的照片；增補物	The EU's enlargement has also made consensus-building more difficult, multiplying the national rivalries and tensions.			
homemaker 	[sound:youdao-b88bc93a-85bbb610-bd9b67ba-61d52f60-98ca8823.mp3]	['həʊmmeɪkə(r)]	n. 主婦	But what else will the middle of Nevada have to offer the forward-looking homemaker in the next year?			
tacit 	[sound:youdao-7588ea69-4a0d9d6d-d6c736a8-cb602281-0ed7a363.mp3]	['tasɪt]	adj. 緘默的；不言而喻的；心照不宣的；默許的	"These leaders are tacit supporters of the idea of a ""quid pro quo"" for reforming governments."			
outgrow 	[sound:youdao-bda75510-7219d674-6fc77696-0c7a2165-9a365ba3.mp3]	[aʊt'grəʊ]	vt. 過大而不適於；出生；長大成熟而不再	To do this, they must outgrow their tiresome, unthinking opposition to any and all tax increases.			
Buddhist 	[sound:youdao-2a4ce897-995d561f-93b3ef9d-2c4bf3c4-16e8f165.mp3]	['budist]	n. 佛教徒 adj. 佛教的	Samurai once lived in Buddhist temples here, Nagashima explained, working as security guards called boukan.			
agreeable 	[sound:youdao-fc2b4edd-39db0870-7ebb6677-5f64fb01-fa4834b8.mp3]	[ə'griːəb(ə)l]	adj. 令人愉快的；適合的；和藹可親的	Okay, they refinanced to more agreeable terms, scraped up additional money for extra mortgage payments, etc.			
brownie 	[sound:youdao-25466d79-8264bc09-abecc58d-c67ab4e3-6ce531fa.mp3]	['braʊnɪ]	n. 巧克力蛋糕，核仁巧克力餅；棕仙（傳說中夜間幫助做家務的小精靈）	Round off your meal with a salty brownie and a cup of locally roasted coffee at Baked.			
controlling 	[sound:youdao-9a86e8e0-806856c9-8e52315b-b4448a75-106e6048.mp3]	[kən'trəʊlɪŋ]	n. 控制 v. 控制；管理（control的ing形式）；驗證	They're the government's way of controlling Upper Egypt - the powerful families,  Moataz told me.			
brunch 	[sound:youdao-7243c6a5-385ccc84-85b723cd-b756dbce-90485497.mp3]	[brʌn(t)ʃ]	n. 早午餐	All include brunch, golf, caddie fees (not tips), cocktail reception afterwards and awards ceremony.			
stave 	[sound:youdao-9136480b-d8b695c6-14454208-74abedc5-d3a0ec4e.mp3]	[steɪv]	n. 狹板；梯級；詩句；五線譜表 vt. 延緩；擊穿；鑿孔於；壓扁 vi. 破碎；穿孔 n. (Stave)人名；(德)施塔弗；(英、瑞典)斯特夫	The two companies managed to stave off government regulation for years by lobbying hard — and spending generously.			
allegory 	[sound:youdao-3aa00abe-c834b5fa-67ed3f32-ab23d002-04aad74e.mp3]	['alɪg(ə)rɪ]	n. 寓言	Interestingly, the allegory seems to be playing itself out in the real world of automotive sales.			
proverbial 	[sound:youdao-20661623-df3ae5b8-866c260d-337987ae-5dfd639c.mp3]	[prə'vɜːbɪəl]	adj. 諺語的；眾所周知的；諺語式的	So, no Twitter or Facebook equivalents work for the proverbial bottom of the pyramid.			
inverted 	[sound:youdao-47db3e44-11c42a2f-e5b4f964-d00dc67f-e0dc1d57.mp3]	[ɪn'vɜːtɪd]	adj. 倒轉的，反向的 v. 顛倒（invert的過去分詞）；使…反向	This time the curve has become inverted mainly because long-term yields have fallen so much.			
brunt 	[sound:youdao-a8422253-9515b614-bb030946-84485566-17ce00fd.mp3]	[brʌnt]	n. 衝擊；主要衝力 n. (Brunt)人名；(英)布倫特	Ms. WEBSTER: Well, there is no question that Detroit is feeling the brunt of this.			
interchange 	[sound:youdao-fb42d1bd-670f00cf-2a1687ae-9903d04b-3efc60d0.mp3]	[ɪntə'tʃeɪn(d)ʒ]	vt. （指兩人等）交換；互換 vi. 交換；相互交換 n. 互換；立體交叉道	Steve Wilhite created the Graphics Interchange Format, or GIF, while working for Compuserve in 1987.			
unlucky 	[sound:youdao-80ce65c4-c4fe2ea5-03913259-5c5af5a2-027a2f03.mp3]	[ʌn'lʌkɪ]	adj. 不幸的；倒霉的；不吉利的	The unlucky half are the 490, 200 who live in the rest of the world.			
rusted 	[sound:youdao-bcd7aa32-22ba02d8-f0eae74d-42952936-bf0d6450.mp3]	['rʌstɪd]	adj. 銹的 v. 生銹（rust的過去式和過去分詞）；遲鈍	The beams were wormy and the chains rusted and the pillars green with mold.			
madly 	[sound:youdao-0a9e644a-2592cacb-57fa9e65-7b45871c-a0b37b03.mp3]	['madlɪ]	adv. 瘋狂地；發狂地；精神失常地	We tried driving the walks, madly piloting our rented car along mule tracks and logging trails.			
abolition 	[sound:youdao-f9b4b620-9f24b39a-0bd8bd88-f2c51663-78eba34a.mp3]	[abə'lɪʃ(ə)n]	n. 廢除；廢止	Why, the abolition of Barnett and the introduction of a system of self-funding for Scotland.			
affliction 	[sound:youdao-7f7baeb5-37ab773d-ec3aac91-e3ecd20b-1c57b584.mp3]	[ə'flɪkʃ(ə)n]	n. 苦難；苦惱；折磨	But now there are indications that humorlessness is an affliction that strikes religious fundamentalists across cultures.			
melancholy 	[sound:youdao-ca15a0ba-2ff53cac-3c2648f6-56164582-3b9764c9.mp3]	['melənkəlɪ]	adj. 憂鬱的；使人悲傷的 n. 憂鬱；悲哀；愁思	It was charming, occasionally insightful, and tinged with the melancholy of a long day s sunset.			
brat 	[sound:youdao-08e83d81-c8e0499e-7714b85a-1c3081e8-860ecd75.mp3]	[brat]	n. 乳臭未乾的小孩；頑童 n. (Brat)人名；(法、塞)布拉特	My journey began when I was born an Army brat at Fort Sill in Oklahoma.			
artistry 	[sound:youdao-1286aed7-d567c9a7-66c69076-d9328c81-17c1954d.mp3]	['ɑːtɪstrɪ]	n. 藝術性；工藝；藝術技巧；藝術效果；藝術工作	It's important to keep your priorities straight, and that means never neglecting the artistry.			
propriety 	[sound:youdao-79ee2b20-f39855f3-e8263a90-7534364b-d57c2dd0.mp3]	[prə'praɪətɪ]	n. 適當；禮節；得體	Other committee members from both parties then openly debated the propriety of Issa's questioning.			
cooker 	[sound:youdao-cb014f33-d4c96de1-116f87ae-723a4e85-4bd1371a.mp3]	['kʊkə]	n. 炊具；烹飪用水果；竄改者	Once it broke those levels, we will just call it almost like a pressure cooker.			
freckle 	[sound:youdao-1676f6d1-9a153ed9-70914060-20b23c20-ac6275cf.mp3]	['frek(ə)l]	n. 雀斑；斑點 vt. 使生雀斑 vi. 生雀斑	If my son hadn't kept pointing to the freckle I don't think I would have done anything about it!			
alcove 	[sound:youdao-f694c06a-fabc1c7d-2d9b4fe5-5cd13bda-b76f2dda.mp3]	['alkəʊv]	n. 凹室；壁龕 n. (Alcove)人名；(法)阿爾科夫	If you doubt that, post a Christian cross in one coffee alcove and a Darwin sticker in another.			
shovel 	[sound:youdao-50e3d40b-ee81cea9-babb81c9-31e492b7-e1b73191.mp3]	['ʃʌv(ə)l]	n. 鐵鏟；一鏟的量；鏟車 vt. 剷除；用鏟挖；把…胡亂塞入 vi. 鏟	While using a shovel to push branches into a wood chipper, he was pulled in and killed.			
take-out 	[sound:youdao-1f7b4776-fe8a5a72-133f9819-43895b0b-bd1a14c5.mp3]	['teik,aut]	adj. 供應外賣食物的 n. 取消銀行貸款	We also see ATRC as a potential take-out candidate over the next 12-18 months.			
cushion 	[sound:youdao-a1ab2686-a76e993e-7d8c1b48-e2827709-f10fc8d6.mp3]	['kʊʃ(ə)n]	n. 墊子；起緩解作用之物；（豬等的）臀肉；銀行儲蓄 vt. 給…安上墊子；把…安置在墊子上；緩和…的衝擊	There are a number of times when Mercer's vocals are folded way back into a cushion of sound.			
condense 	[sound:youdao-6a18767c-95e3b298-a113ad1d-9bf2afcc-0dc07b85.mp3]	[kən'dens]	vi. 濃縮；凝結 vt. 使濃縮；使壓縮	Then at the end of the semester, I would condense those summaries into a smaller document.			
unsolved 	[sound:youdao-ff62f70c-3b278221-92f941ef-e0c010cd-4e539627.mp3]	[ʌn'sɒlvd]	adj. 未解決的；未解答的	The case remains unsolved, and charges were never brought against Amy or her husband.			
penetrating 	[sound:youdao-76f4e0a0-3a580424-433708d0-cddead68-29a786db.mp3]	['penɪtreɪtɪŋ]	adj. 滲透的；尖銳的；有洞察力的 v. 穿透；貫穿（penetrate的ing形式）	They're composed of high-energy, highly penetrating particles, and astronauts would be exposed to them chronically.			
wriggle 	[sound:youdao-504ad11b-518d639b-8db075df-a84165e3-53633f9c.mp3]	['rɪg(ə)l]	vi. 蠕動；蜿蜒而行 vt. 使蠕動；蠕動到；不知不覺地潛入 n. 蠕動；扭動	Is the government trying to wriggle out of a commitment on charging for throw-away plastic bags?			
parting 	[sound:youdao-f7b75dea-6f8672f6-ba05cf0a-197404d8-ad4a1a88.mp3]	['pɑːtɪŋ]	n. 分手；分離；分界點 adj. 離別的；分開的；逝去的 v. 分開；斷裂；離去（part的ing形式） n. (Parting)人名；(德、瑞典)帕爾廷	Santana even left a precious parting gift before he went -the first no-hitter in franchise history.			
nag 	[sound:youdao-59a2fd88-af3a1ec3-72d88477-05433dfc-fc11a135.mp3]	[nag]	n. 嘮叨；老馬；競賽馬 vt. 使煩惱；不斷地嘮叨 vi. 不斷地嘮叨 n. (Nag)人名；(乍)納吉；(緬)納；(印)納格	It is possible for husbands to nag, and wives to resent them for nagging.			
restoring 	[sound:youdao-bd2ac21b-7418417b-7a874af2-15cff280-2353ef91.mp3]	[rɪ'stor]	adj. 恢復的 v. 恢復，重建；正在恢復（restore的現在分詞）	There was an added intention of restoring the Scottish-made beam engine pump machinery to full working order.			
snowmobile 	[sound:youdao-bf9c6b64-e9fa4b40-57219307-4a24cf4b-20c90a14.mp3]	['snəʊməbiːl]	n. 雪上汽車；機動雪橇	It weighs about 800 pounds and traverses the ice on two repurposed snowmobile tracks.			
nervousness 	[sound:youdao-98cce57b-1e077842-6e79493b-11240a65-5fe781f8.mp3]	['nɜːvəsnəs]	n. 神經質；[心理] 神經過敏；緊張不安	But from time to time he covers his face with a hand in a gesture of apparent nervousness.			
impenetrable 	[sound:youdao-23463159-072a0a51-7205bea2-2543405d-107f4182.mp3]	[ɪm'penɪtrəb(ə)l]	adj. 不能通過的；頑固的；費解的；不接納的	Impenetrable as offshore trusts may be, their owners still are subject to U.S. law.			
blocker 	[sound:youdao-7dd70d57-5e11e0aa-6b83845f-e6edb500-9e4f4bf5.mp3]	['blɑkɚ]	n. 雛形鍛模 n. (Blocker)人名；(瑞典、英)布洛克爾	The same could be said for the combination of niacin and a flush blocker in Cordaptive.			
spoke 	[sound:youdao-71909e84-1dc8f7ce-12dcd18f-2d97b245-b02aa363.mp3]	[spəʊk]	v. 說話（speak的過去式）；為…裝輪輻；說；演說；從某種觀點來說 n. （車輪的）輻條；輪輻；破壞某人的計劃；阻撓某人的行動；剎車；扶梯棍	"The UK MEP Andrew Duff spoke of ""a critical year to save the EU""."			
amber 	[sound:youdao-e2b27f50-79cfef84-e30bf8ee-2f072287-081861a0.mp3]	['ambə]	adj. 琥珀色的；琥珀制的 n. 琥珀；琥珀色 vt. 使呈琥珀色	Amber is a film and photography collective incorporating Amber Films, Side Gallery and Side Cinema.			
outsource 	[sound:youdao-6a96a09a-af762fd0-07141567-7aca36cf-b4cec745.mp3]	[aʊt'sɔːs]	vt. 把…外包 vi. 外包	MSSPs, SaaS providers and traditional outsource providers partner with those technology vendors to fulfill their service offerings.			
spooky 	[sound:youdao-a037859a-9109191c-75cf56ae-621f9f45-957d6511.mp3]	['spuki]	adj. 幽靈般的；有鬼般的；令人毛骨悚然的	What it does is so soothing it's actually spooky, bringing to mind Arthur C.			
giver 	[sound:youdao-4cc799a6-9ac9d0ae-6fda3272-679be0d0-39016656.mp3]	['gɪvə(r)]	n. 給予者，贈予人；送禮者	Land's End had once belonged to New York journalist (and keen 1920s party-giver) Herbert Bayard Swope.			
critter 	[sound:youdao-61a450e2-de522c94-cbd640c4-05bd58f4-42987974.mp3]	['krɪtə]	n. 人；家畜；馬；牛	Unleash unique power-up abilities for each Super Critter including Time Warp, Anti-Gravity abilities and more!			
jar 	[sound:youdao-060212ce-b52a75c6-681c09fd-a6b27fba-b563e7f5.mp3]	[dʒɑː]	n. 罐；廣口瓶；震動；刺耳聲 vi. 衝突；不一致；震驚；發刺耳聲 vt. 震動；刺激；使震動 n. (Jar)人名；(羅)扎爾	That one little jar burning whole day that it kept to our candle in light.			
one-day 	[sound:youdao-64aecbd7-dfd936d4-89b31736-a49e0fb3-583a3c64.mp3]		（將來）有一天；總有一天；（過去）某一天	That put beaten Twenty20 finalists Somerset through to their second one-day final of the season.			
avant-garde 	[sound:youdao-7fc7ec85-1e0ef121-9bc324aa-f5e9f26f-793f8f49.mp3]	[,avɔŋ'ɡɑ:d]	n. 先鋒派；前衛派 adj. 前衛的；先鋒的	In the realm of avant-garde fashion, aesthetic ingenuity is celebrated above practicality or profitability.			
symmetrical 	[sound:youdao-8c18f5fb-b087a083-86349b33-cbea0806-90322c69.mp3]	[sɪ'metrɪk(ə)l]	adj. 勻稱的，對稱的	"It forms almost perfectly symmetrical ""star"" dunes, each with several arms extending outward from the summit."			
violinist 	[sound:youdao-c69868de-3e612a3b-a87d1015-5d91f7d3-6f33f1b0.mp3]	[,vaɪə'lɪnɪst]	n. 小提琴演奏者，小提琴家	The contest also has an ambassadorial role for violinist Nicola Benedetti, who won the award in 2004.			
elaboration 	[sound:youdao-d741e4d7-46899488-38faaf5f-6f3ba5eb-a20cceed.mp3]	[ɪ,labə'reɪʃən]	n. 苦心經營，精巧；詳細闡述	And this is no doubt a good thing, for reasons that hardly need elaboration.			
divulge 	[sound:youdao-22883602-816a5b57-72bba8f4-6a5fcb21-7d73e676.mp3]	[daɪ'vʌldʒ; dɪ-]	vt. 洩露；暴露	As we explored, Ms. Foster announced that she had a final tidbit to divulge.			
Portuguese 	[sound:youdao-4885aec3-75c37d5d-286ac281-4d3a0529-f2bd38f0.mp3]	[ˌpɔːtjʊˈɡiːz]	adj. 葡萄牙的；葡萄牙人的；葡萄牙語的 n. 葡萄牙語；葡萄牙人	Sixteenth-century Portuguese explorer Ferdinand Magellan set out from Seville, Spain, to circumnavigate the globe in 1519.			
oops 	[sound:youdao-9bd14a4d-72be524c-35ca3613-3edf7f23-9a5299c9.mp3]	[uːps; ʊps]	int. 哎喲（表示驚訝，狼狽時所發的喊聲）	And, oops, he also forgot to change the company name listed on several of his slides.			
convincingly 	[sound:youdao-555e966f-1054240c-501f15d6-763b9d9a-34a6e9be.mp3]	[kən'vɪnsɪŋli]	adv. 令人信服地；有說服力地	With his large features and solid but nimble body, he convincingly portrays otherworldly creatures.			
reciprocity 	[sound:youdao-36ea31e6-44328d6c-37b187a5-986a1bfb-d8373d80.mp3]	[,resɪ'prɒsɪtɪ]	n. 相互作用（複數reciprocities）；相互性；互惠主義	There was also more reciprocity between management and workforce in dialogue, trust, fairness and respect.			
knockout 	[sound:youdao-c74b201c-b5c8cfdd-9147a4af-83c18a9c-5293f63a.mp3]	['nɒkaʊt]	adj. 淘汰的；擊倒的；迷人的 n. 淘汰賽；擊倒；給人留下深刻印象的人；絕代佳人	The latest idea, backed by F1 supremo Bernie Ecclestone, is for 'knockout' qualifying divided into three stages.			
retrace 	[sound:youdao-e8866ee3-68648d17-b8a39fcb-5e6f34f9-8674f22c.mp3]	[rɪ'treɪs]	vt. 追溯；折回；重描	An hour later and I emerge from BBC headquarters to retrace my steps across London.			
payback 	[sound:youdao-29802f64-3dc2b725-64615329-6e5b4b0e-d7fa2fbe.mp3]	['pebak]	n. 償付；投資的回收	That figure can be used on the basis that capital investment has payback over subsequent years.			
transcendence 	[sound:youdao-a488e79c-c350ae91-2a1fb475-152a4711-d485302f.mp3]	[tran'sɛndəns]	n. 超越；卓越；超然存在	So if we have intimations of divinity and transcendence, how shall we express them?			
informally 	[sound:youdao-da399882-3b91cfff-ad6287cc-d644a7e5-9ee885a9.mp3]	[in'fɔ:məli]	adv. 非正式地；不拘禮節地	He was homeschooled, sometimes, and he took correspondence classes and studied informally with university professors.			
implore 	[sound:youdao-63509901-a37b6651-7059349c-b8566ec0-8877b006.mp3]	[ɪm'plɔː]	vt. 懇求或乞求 vi. 懇求或乞求	In fact, in my books and columns, I implore us to do more of it.			
torment 	[sound:youdao-09fb9521-493bdaa3-1d882b9e-99429a5f-ee328d90.mp3]	['tɔːment]	vt. 折磨，使痛苦；糾纏，作弄 n. 痛苦，苦惱；痛苦的根源	It's his back--still a torment after two surgeries on herniated disks in his spine.			
slang 	[sound:youdao-1da1f58a-8676adf2-adb02cfd-5ac3cc4f-9558db18.mp3]	[slaŋ]	n. 俚語；行話 adj. 俚語的 vi. 用粗話罵 vt. 用俚語說	American Slang will stream here in its entirety until its release on June 15.			
material 	[sound:youdao-85d3d229-a32492c2-3cdb4afc-5cc47b5f-06079969.mp3]	[mə'tɪərɪəl]	adj. 重要的；物質的，實質性的；肉體的 n. 材料，原料；物資；布料	The expectation of increased spending on roads and railways has helped to lift raw-material prices.			
laud 	[sound:youdao-407e97fa-041d30d8-2ecfd6bc-fcc49acf-6ce3785f.mp3]	[lɔːd]	vt. 讚美；稱讚 n. 讚美；稱讚；頌歌 n. (Laud)人名；(英、瑞典)勞德	For generations to come some will laud him as a saviour of the Serbs.			
noun 	[sound:youdao-9fee1ff2-78928c5c-0117912c-c95da60c-56893bcc.mp3]	[naʊn]	n. 名詞 n. (Noun)人名；(以)努恩	Stick-to-itiveness is a real word and a handy noun coined in 1884, meaning dogged perseverance.			
latex 	[sound:youdao-7d832d3e-f577279c-6bd8d9ac-701a9824-899f099e.mp3]	['leɪteks]	n. 乳膠；乳液	The newest version of female condoms called FC2 is cheaper and uses a non-latex material.			
